*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
Key Lime Tart,Key Lime Tart,,Key Lime Tart,18.24,310,GST on Expenses,,,,,,,Active,Untracked
KNORR,Hollandaise Sauce,,Hollandaise Sauce,10.00,310,GST Free Expenses,,,,,,,Active,Untracked
KP25,KP25 5L,,KP25 5L,23.64,460,GST on Expenses,,,,,,,Active,Untracked
KRBACRL,BACON,,BACON,49.25,310,GST Free Expenses,,,,,,,Active,Untracked
KRIO,Peri Peri Seasoning,,Peri Peri Seasoning,16.10,310,GST Free Expenses,,,,,,,Active,Untracked
Labour,Labour,,Labour,117.27,473,GST on Expenses,,,,,,,Active,Untracked
LE,Lemons,,Lemons,4.00,310,GST Free Expenses,,,,,,,Active,Untracked
LE2,Lemon Composite,,Lemon Composite,5.50,310,GST Free Expenses,,,,,,,Active,Untracked
LEE,Leeks Bunch,,Leeks BNunch,6.00,310,GST Free Expenses,,,,,,,Active,Untracked
Legal Fees,Legal Fees,,Legal Fees,0.00,441,GST on Expenses,,,,,,,Active,Untracked
LEGO,Crushed Tomatoes,,Crushed Tomatoes,5.80,310,GST Free Expenses,,,,,,,Active,Untracked
LEMNO,Haloumi,,Haloumi,31.50,310,GST Free Expenses,,,,,,,Active,Untracked
Lemongrass,Lemongrass ginger Tea,,Lemongrass ginger Tea,36.00,310,GST Free Expenses,,,,,,,Active,Untracked
LETBC,Baby Cos,,Baby Cos,2.75,310,GST Free Expenses,,,,,,,Active,Untracked
LETC,CosLettuce,,CosLettuce,3.50,310,GST Free Expenses,,,,,,,Active,Untracked
LFLBRB,Lamb Leg,,Lamb Leg,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
LFLDI2,DICED LAMB,,DICED LAMB,18.00,310,GST Free Expenses,,,,,,,Active,Untracked
LI2,Limes,,Limes,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
LIDS,LIDS SLEEVE,,LIDS SLEEVE,0.20,PACK,GST on Expenses,,,,,,,Active,Untracked
LIDS 4OZ,LIDS 40Z,,LIDS 40Z,3.00,PACK,GST on Expenses,,,,,,,Active,Untracked
LIDSBOX,Coffee Cup Lids Box,,"Lid eco 8,12,16 oz (1200/Box) * new white*",66.00,PACK,GST on Expenses,,,,,,,Active,Untracked
Little Italy,Little Italy Beans,,Little Italy Beans,30.50,310,GST on Expenses,,,,,,,Active,Untracked
Little Italy Beans,Little Italy Beans,,Little Italy Beans,30.50,310,GST Free Expenses,,,,,,,Active,Untracked
LS10118,Professional Trim 2Lt Btl,,Professional Trim 2Lt Btl,3.43,310,GST Free Expenses,,,,,,,Active,Untracked
M/FOO,Seeded Mustard,,Seeded Mustard,17.00,310,GST Free Expenses,,,,,,,Active,Untracked
MAINL,Cheese,,Cheese,16.15,310,GST on Expenses,,,,,,,Active,Untracked
Mango Diced,Mango Diced,,Mango Diced,7.80,310,GST Free Expenses,,,,,,,Active,Untracked
Maple,Maple Syrup,,Maple Syrup,13.50,310,GST Free Expenses,,,,,,,Active,Untracked
MARK,SCALLOPS,,SCALLOPS,26.75,310,GST Free Expenses,,,,,,,Active,Untracked
Marl Sands,Marlborough Sands Sav Blanc,,Marlborough Sands Sav Blanc,12.90,310,GST on Expenses,,,,,,,Active,Untracked
MAT,Mat,,Mat,11.00,408,GST on Expenses,,,,,,,Active,Untracked
MATCHA,MATCHA,,MATCHA,27.15,310,GST Free Expenses,,,,,,,Active,Untracked
MCCA,Hash Browns,,Hash Browns,7.75,310,GST Free Expenses,,,,,,,Active,Untracked
Me&U,Me & U Interface,,Me & U Interface,23.10,,GST on Expenses,,,,,,,Active,Untracked
MEAT,MEAT,,MEAT,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
ME-D10A,2 Door Fridge,,2 Door Fridge,"1,400.00",131,GST on Expenses,,,,,,,Active,Untracked
Merlot,Climbing Merlot,,Climbing Merlot,17.10,310,GST on Expenses,,,,,,,Active,Untracked
Milk Buns,Milk Buns,,Milk Buns,29.00,310,GST Free Expenses,,,,,,,Active,Untracked
Milk Lab Soy,Milk Lab Soy,,Milk Lab Soy,24.00,310,GST Free Expenses,,,,,,,Active,Untracked
MILK SUPPLIES,MILK,,MILK,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
MilkLab Lactose Free,MilkLab L/Free,,MilkLab L/Free,27.70,310,GST Free Expenses,,,,,,,Active,Untracked
MIMLSOY,Milk Lab Soy,,Milk Lab Soy,25.75,310,GST Free Expenses,,,,,,,Active,Untracked
MINT,Mint,,Mint,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
Misc,Misc,,Misc,30.84,310,GST Free Expenses,,,,,,,Active,Untracked
MISCELLANEOUS,Misc,,Misc,3.52,310,GST Free Expenses,,,,,,,Active,Untracked
MISSN,Tortilla Wraps,,Tortilla Wraps,4.85,310,GST Free Expenses,,,,,,,Active,Untracked
MixedHerbs,Mixed Herbs,,Mixed Herbs,15.37,460,GST Free Expenses,,,,,,,Active,Untracked
MLKLB,Milk Lab Almond Milk Carton,,Milk Lab Almond Milk,30.95,310,GST Free Expenses,,,,,,,Active,Untracked
MR,Rockmelon,,Rockmelon,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
MRC,Chips Mr Creamy Deluxe,,Chips MR CREAMY DELUXE,33.00,310,GST Free Expenses,,,,,,,Active,Untracked
MU,Mushrooms,,Mushrooms Market Button - Kg,12.00,310,GST Free Expenses,,,,,,,Active,Untracked
MUC,Mushrooms Case,,Mushrooms Case,46.00,310,GST Free Expenses,,,,,,,Active,Untracked
MUF,Field Mushroom,,Field Mushroom,14.00,310,GST Free Expenses,,,,,,,Active,Untracked
muf60br,Muffin Papers,,Muffin Papers,50.69,PACK,GST on Expenses,,,,,,,Active,Untracked
MUFC,Field Mushrooms Case,,Field Mushrooms Case,48.00,310,GST Free Expenses,,,,,,,Active,Untracked
Mussells,Mussells,,Mussells,13.50,310,GST Free Expenses,,,,,,,Active,Untracked
Napkins,Napkin Quilted,,Napkin Quilted,34.55,PACK,GST on Expenses,,,,,,,Active,Untracked
Natvia,Natvia Sweetner,,Natvia Sweetner,28.50,310,GST Free Expenses,,,,,,,Active,Untracked
NHANC,Noahs Apple/Nec/Coco,,Noahs Applke/Nec/Coco,30.76,310,GST Free Expenses,,,,,,,Active,Untracked
NHAPM260,Noahs Apple/Peach/Mango,,Noahs Apple/Peach/Mango,30.76,310,GST Free Expenses,,,,,,,Active,Untracked
NHCA260,Noahs Clear Apple,,Noahs Clear Apple,30.76,310,GST Free Expenses,,,,,,,Active,Untracked
NHV0260,Noahs Orange Juice,,Noahs Orange Juice,30.76,310,GST Free Expenses,,,,,,,Active,Untracked
OBENT,Rice wine vinegar,,Rice wine vinegar,2.76,310,GST Free Expenses,,,,,,,Active,Untracked
OCSPR,Cranberry Sauce,,Cranberry Sauce,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
Olive Grove,Oliver Grove Chard,,Oliver Grove Chard,13.00,310,GST on Expenses,,,,,,,Active,Untracked
ONB,Onions Brown,,Onions Brown XL - Kg,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
ONR,Onions Red Medium,,Onions Red Medium - Kg,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
Orange Almond Cak,Orange Almond Cake,,Orange Almond Cake,24.99,310,GST on Expenses,,,,,,,Active,Untracked
ORJ,Oranges,,Oranges,1.80,310,GST Free Expenses,,,,,,,Active,Untracked
OVEN REPAIR,OVEN REPAIR,,OVEN REPAIR,137.50,473,GST on Expenses,,,,,,,Active,Untracked
P10118,Professional Full 2Lt Btl,,Professional Full 2Lt Btl,3.32,310,GST Free Expenses,,,,,,,Active,Untracked
PACKAGING,PACKAGING,,PACKAGING,0.00,PACK,GST on Expenses,,,,,,,Active,Untracked
PAI,Parsley Italian,,Parsley Italian,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
PAMPS,Puff Pastry,,Puff Pastry,8.00,310,GST Free Expenses,,,,,,,Active,Untracked
PAPRIKA,PAPRIKA,,PAPRIKA,16.30,460,GST Free Expenses,,,,,,,Active,Untracked
Passionfruit Cheesecake,Passionfruit Cheesecake,,Passionfruit Cheesecake,46.58,310,GST on Expenses,,,,,,,Active,Untracked
pdc360b,Cup Plastic Bio 360ml,,Cup Plastic Bio 360ml,9.30,310,GST on Expenses,,,,,,,Active,Untracked
pdcldb,Lid Dome Bio Sleeve,,Lid Dome Bio Sleeve,4.68,310,GST on Expenses,,,,,,,Active,Untracked
Peanut Butter,Peanut Butter Smooth,,Peanut Butter Smooth,22.25,310,GST Free Expenses,,,,,,,Active,Untracked
PEAR RASP BREAD,PEAR RASP BREAD,,PEAR RASP BREAD,18.95,310,GST Free Expenses,,,,,,,Active,Untracked
PEP,Pears,,Pears,3.75,310,GST Free Expenses,,,,,,,Active,Untracked
Pepper Cracked,Pepper Cracked Course,,Pepper Cracked Course,20.20,310,GST Free Expenses,,,,,,,Active,Untracked
PEPPERCORNS,PEPPERCORNS,,PEPPERCORNS,16.05,460,GST Free Expenses,,,,,,,Active,Untracked
Peppermint Tea,Peppermint Tea,,Peppermint Tea,18.50,310,GST Free Expenses,,,,,,,Active,Untracked
PERIT,Shaved Parmesan,,Shaved Parmesan,34.39,310,GST Free Expenses,,,,,,,Active,Untracked
Pest Control,Pest Control,,Pest Control,150.00,408,GST on Expenses,,,,,,,Active,Untracked
PF,Passionfruuit,,Passionfruuit,1.50,310,GST Free Expenses,,,,,,,Active,Untracked
PG,RED EMPEROR,,RED EMPEROR,47.50,310,GST Free Expenses,,,,,,,Active,Untracked
Pistachios,Pistachio Raw,,Pistachio Raw,48.50,310,GST Free Expenses,,,,,,,Active,Untracked
pl2,lids,,lids,8.58,PACK,GST on Expenses,,,,,,,Active,Untracked
PMMV31OC,Prawns,,P,16.50,310,GST Free Expenses,,,,,,,Active,Untracked
PODS,PODS,,PODS,7.00,310,GST Free Expenses,,,,,,,Active,Untracked
POLENTA,POLENTA,,POLENTA,4.93,310,GST Free Expenses,,,,,,,Active,Untracked
PONT,Balsamic Vinegar,,Balsamic Vinegar,30.40,310,GST Free Expenses,,,,,,,Active,Untracked
POS Repair,POS Repair,,POS Repair,608.18,720,GST on Expenses,,,,,,,Active,Untracked
POTB,Potato Brushed,,Potato Brushed,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
potc,Cocktail Potato,,Coctail Potato,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
POTK,Kipfler Potato,,Kipfler Potato,5.50,310,GST Free Expenses,,,,,,,Active,Untracked
POTL,Potato Large,,Potato Large,2.50,310,GST Free Expenses,,,,,,,Active,Untracked
POTS,Sweet Potato,,Sweet Potatao2,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
Prawns,Cooked Prawns,,Cooked Prawns,29.50,310,GST Free Expenses,,,,,,,Active,Untracked
PRIME,Garbage Bags 80l x 25,,Garbage Bags 80l x 25,3.97,408,GST on Expenses,,,,,,,Active,Untracked
PRINTER,PRINTER,,PRINTER,437.73,461,GST on Expenses,,,,,,,Active,Untracked
PUMBN,Butternut Pumpkin,,Butternut Pumpkin,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
PWWLD,Pearl Perch,,Pearl Perch,92.00,310,GST Free Expenses,,,,,,,Active,Untracked
PYBENSG,PORK BELLY,,PORK BELLY,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
QBA,Turkish Loaf x4,,Turkish Loaf x4,29.55,310,GST Free Expenses,,,,,,,Active,Untracked
QW,Cream Bulbs,,Cream Bulbs,7.90,460,GST Free Expenses,,,,,,,Active,Untracked
Raspberries Frozen,Raspberries Frozen,,Raspberries Frozen,10.50,310,GST Free Expenses,,,,,,,Active,Untracked
Raw Sugar Sticks Botero,Botero Sugar Sticks,,Botero Sugar Sticks,28.50,310,GST on Expenses,,,,,,,Active,Untracked
REAL,Cream Cheese,,Cream Cheese,15.78,310,GST Free Expenses,,,,,,,Active,Untracked
REDCH,Sweet Lips,,Sweet Lips,49.50,310,GST Free Expenses,,,,,,,Active,Untracked
Register Roll,Roll Register 76x76 Bond,,Roll Register 76x76 Bond,19.50,461,GST on Expenses,,,,,,,Active,Untracked
RENT,Rent,,Rent,"9,166.66",469,GST on Expenses,,,,,,,Active,Untracked
Ribbon RCE38BR,Printer ribbon,,Printer ribbon,15.95,461,GST on Expenses,,,,,,,Active,Untracked
Ricotta Nutella tart,Ricotta Nutella Tart,,Ricotta Nutella Tart,21.95,310,GST on Expenses,,,,,,,Active,Untracked
RIV,Gherkins,,Gherkins,13.05,310,GST Free Expenses,,,,,,,Active,Untracked
ROC,Rocket,,Rocket,18.00,310,GST Free Expenses,,,,,,,Active,Untracked
ROSE,Rosemary,,Rosemary,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
S Vitt Mineral Water,San Vitt Mineral Water,,San Vitt Mineral Water,31.95,310,GST on Expenses,,,,,,,Active,Untracked
SANDH,Capsicum Strips,,Capsicum Strips,13.89,310,GST Free Expenses,,,,,,,Active,Untracked
SAUBBQ,BBQ Sauce,,BBQ Sauce,8.65,310,GST Free Expenses,,,,,,,Active,Untracked
SAUTOM,Tomato Sauce,,Tomato Sauce,8.50,310,GST Free Expenses,,,,,,,Active,Untracked
SAXA,Table Salt,,Table Salt,1.30,310,GST Free Expenses,,,,,,,Active,Untracked
SBFWHF3,Whiting Fillets 3kg,,Whiting Fillets 3kg,17.20,310,GST Free Expenses,,,,,,,Active,Untracked
SBLB,Snackbox Large,,Snackbox Large,18.32,PACK,GST on Expenses,,,,,,,Active,Untracked
sbrb,Snack Box Regular Sleeve,,Snack Box Regular Sleeve,0.28,310,GST on Expenses,,,,,,,Active,Untracked
SCN31JK,SCALLOPS,,SCALLOPS,27.00,310,GST Free Expenses,,,,,,,Active,Untracked
Service,Coffee Machine Service,,Coffee Machine Service,297.70,473,GST on Expenses,,,,,,,Active,Untracked
Sesame Seeds,Sesame Seeds,,Sesame Seeds,8.00,310,GST Free Expenses,,,,,,,Active,Untracked
SHAL,Shallots Bunch,,Shallots Bunch - Each,1.80,310,GST Free Expenses,,,,,,,Active,Untracked
SHUCK OYSTERS,Catering,,,,,,Catering,0.00,,,,,Active,Untracked
sk15,Skewers,,Skewers,5.06,PACK,GST on Expenses,,,,,,,Active,Untracked
Smoked Salmon,Smoked Salmon,,Smoked Salmon,29.95,310,GST Free Expenses,,,,,,,Active,Untracked
Smooth Operater,Cab Merlot,,Cab Merlot,14.60,310,GST on Expenses,,,,,,,Active,Untracked
SMSGCHO,Chorizo,,Chorizo,14.80,310,GST Free Expenses,,,,,,,Active,Untracked
Sourdough,Sourdough Sliced,,Sourdough Sliced,19.50,310,GST Free Expenses,,,,,,,Active,Untracked
SP,Snow Peas,,Snow Peas,20.00,310,GST Free Expenses,,,,,,,Active,Untracked
SPEED,Turkish Loaf,,Turkish Loaf,42.20,310,GST Free Expenses,,,,,,,Active,Untracked
SPI,Baby Spinach,,Baby Spinach - Kg,18.00,310,GST Free Expenses,,,,,,,Active,Untracked
SPIC,Spinach Case,,Spinach Case,22.00,310,GST Free Expenses,,,,,,,Active,Untracked
SQFPCG2K,Squid Fillet,,Squid Fillet Gigas -P/CUT O/KING,11.10,310,GST on Expenses,,,,,,,Active,Untracked
SQUID,Fish Sauce,,Fish Sauce,3.30,310,GST Free Expenses,,,,,,,Active,Untracked
ST,Strawberries,,Strawberries,3.75,310,GST Free Expenses,,,,,,,Active,Untracked
Stationery,Stationery Supplies,,Stationery Supplies,47.70,461,GST on Expenses,,,,,,,Active,Untracked
Sticky Date Pud,Sticky Date Pud,,Sticky Date Pudd,19.00,310,GST on Expenses,,,,,,,Active,Untracked
stjeco,Jumbo Straws Clear,,Jumbo Straws Clear,20.35,PACK,GST on Expenses,,,,,,,Active,Untracked
stjpap,Straws Jumbo Bamboo,,Straws Jumbo Bamboo,11.00,310,GST on Expenses,,,,,,,Active,Untracked
Stone & Wood,Stone & Wood,,Stone & Wood,24.49,310,GST on Expenses,,,,,,,Active,Untracked
Strawberries Frozen,Strawberries Frozen,,Strawberries Frozen,8.35,310,GST Free Expenses,,,,,,,Active,Untracked
Strawberry Cheesecake Tray,Strawberry Cheesecake Tray,,Strawberry Cheesecake Tray,17.01,310,GST on Expenses,,,,,,,Active,Untracked
Strawberry Topping,Strawberry Topping,,Strawberry Topping,8.30,310,GST Free Expenses,,,,,,,Active,Untracked
SUN,Choc Topping Sunshine,,Choc Topping Sunshine,8.12,170,GST on Expenses,,,,,,,Active,Untracked
SUNNY,Blueberries,,Blueberries,9.20,310,GST Free Expenses,,,,,,,Active,Untracked
Superannuation,Superannuation,,Superannuation,0.00,,,,,,,,,Active,Untracked
Supplies,Supplies,,Supplies,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
Supplies GST,Supplies GST,,Supplies GST,0.00,310,GST on Expenses,,,,,,,Active,Untracked
Sweet Chilli,Sweet Chilli Sauce,,Sweet Chilli Sauce,12.90,310,GST Free Expenses,,,,,,,Active,Untracked
T/A Cup 16oz Box,!6oz cups Box,,!6oz cups Box,158.00,PACK,GST on Expenses,,,,,,,Active,Untracked
T/A Cups 12oz Sleeve,120z cups Sleeve,,120z cups Sleeve,5.40,PACK,GST on Expenses,,,,,,,Active,Untracked
T-Bone,T-Bone,,T-Bone,16.90,310,GST Free Expenses,,,,,,,Active,Untracked
TOBA,Toba Coffee,,Toba Botero 1kg *plunger*,29.00,310,GST on Expenses,,,,,,,Active,Untracked
TOM2,Tomato Composite-KG,,Tomato Composite,3.50,310,GST Free Expenses,,,,,,,Active,Untracked
TOM2C,Tomato Composite,,Tomato Composite,28.00,310,GST Free Expenses,,,,,,,Active,Untracked
Tomatoes,Tomatoes,,Tomatoes,35.00,310,GST Free Expenses,,,,,,,Active,Untracked
TOMCH,Cherry Tomato,,Cherry Tomato,2.50,310,GST Free Expenses,,,,,,,Active,Untracked
TOMREC,realish tomatoes case,,realish tomatoes case,12.00,310,GST Free Expenses,,,,,,,Active,Untracked
TOMS,Tomato Small/Medium,,Tomato Small/Medium - Kg,4.50,310,GST on Expenses,,,,,,,Active,Untracked
Topping Vanilla,Vanilla Topping,,Vanilla Topping,8.30,310,GST Free Expenses,,,,,,,Active,Untracked
Torresella Pinot Grigio,Torresell Pinot Grigio,,Torresell Pinot Grigio,12.40,310,GST on Expenses,,,,,,,Active,Untracked
TP,Beef Striploin,,Beef Striploin,17.90,310,GST Free Expenses,,,,,,,Active,Untracked
TR61910,FRYPAN,,FRYPAN,39.60,131,GST on Expenses,,,,,,,Active,Untracked
TRADE WSATE,TRADE WASTE,,TRADE WASTE,86.31,460,GST on Expenses,,,,,,,Active,Untracked
Tray 4 Cup,TRAY 4 CUP (Box/100 Slv/50),,TRAY 4 CUP (Box/100 Slv/50),13.50,PACK,GST on Expenses,,,,,,,Active,Untracked
TRUMP,Almond Meal,,Almond Meal,18.10,310,GST Free Expenses,,,,,,,Active,Untracked
TURK OVAL,TURKISH OVAL,,TURKISH OVAL,30.95,310,GST Free Expenses,,,,,,,Active,Untracked
Turkish Roll,Turkish Burger Roll,,Turkish Burger Roll,27.00,310,GST Free Expenses,,,,,,,Active,Untracked
TURKLOAF,TURKISH LOAF BAKERS X 20,,TURKISH LOAF BAKERS X 20,69.45,310,GST Free Expenses,,,,,,,Active,Untracked
TY,Tyro EFT Integration License,,Tyro EFT Integration License,160.00,473,GST on Expenses,,,,,,,Active,Untracked
V/SYRUP,Vanilla Syrup,,Syrup Botero Vanilla 750ml,14.90,310,GST on Expenses,,,,,,,Active,Untracked
V13427,V/Soy Creamy Orig UHT 1.0 Litr,,V/Soy Creamy Orig UHT 1.0 Litr,2.75,310,GST Free Expenses,,,,,,,Active,Untracked
V500,SOY-Alternative Barista,,SOY-Alternative Barista,32.25,310,GST Free Expenses,,,,,,,Active,Untracked
V501,ALMOND MILK ADC,,ALMOND MILK ADC,35.50,310,GST Free Expenses,,,,,,,Active,Untracked
V502,ADC Oat Milk,,ADC Oat Milk,35.44,310,GST Free Expenses,,,,,,,Active,Untracked
Van Bean Tart,vanilla Bean tart,,vanilla Bean tart,19.85,310,GST on Expenses,,,,,,,Active,Untracked
VANILLA SLICE,VANILLA SLICE,,VANILLA SLICE,16.50,310,GST on Expenses,,,,,,,Active,Untracked
VEGE,Vegemite PC,,Vegemite PC,18.01,310,GST Free Expenses,,,,,,,Active,Untracked
Vegetables,Vegetables,,Vegetables,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
Vinegar,Vinegar,,Vinegar,15.50,310,GST Free Expenses,,,,,,,Active,Untracked
VLABALM,Almond Milk,,Almond Milk,35.43,310,GST Free Expenses,,,,,,,Active,Untracked
VLABOAT,Oat Milk,,Oat Milk,32.36,310,GST Free Expenses,,,,,,,Active,Untracked
Walnuts,Walnut Halves,,Walnut Halves,20.06,310,GST Free Expenses,,,,,,,Active,Untracked
Water 600mlx12,Water 600ml x 12,,Water 600ml x 12,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
WEB REGO,WEB REGISTARTION,,WEB REGISTARTION,60.00,453,GST on Expenses,,,,,,,Active,Untracked
White Choc Buttons,White Choc Buttons,,White Choc Buttons,10.35,310,GST Free Expenses,,,,,,,Active,Untracked
White Drinking Choc,White Drinking Choc,,White Drinking Choc,15.95,310,GST Free Expenses,,,,,,,Active,Untracked
Wht,White Jumbo  Bread,,White Jumbo  Bread,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
Wild,Wild Drinking Choc,,Wild Drinking Choc,9.95,310,GST Free Expenses,,,,,,,Active,Untracked
Window Cleaning,Window Cleaning,,Window Cleaning,33.00,408,GST on Expenses,,,,,,,Active,Untracked
wiprb,Blue Chux Roll,,Blue Chux Roll,11.22,408,GST on Expenses,,,,,,,Active,Untracked
WLBR,Turkish Loaf,,Turkish Loaf,21.10,310,GST Free Expenses,,,,,,,Active,Untracked
WOM,Aioli,,Aioli,7.50,310,GST Free Expenses,,,,,,,Active,Untracked
WOOD,Relish Tomato,,Relish Tomato,31.55,310,GST Free Expenses,,,,,,,Active,Untracked
Workers Comp,Workers Comp,,Workers Comp,175.00,433,GST on Expenses,,,,,,,Active,Untracked
yalumba Pinot Grigio,Pinot Grigio,,Pinot Grigio,11.35,310,GST on Expenses,,,,,,,Active,Untracked
ZUC,Zucchini,,Zucchini,3.50,310,GST Free Expenses,,,,,,,Active,Untracked
ZYMIL,ZYMIL,,ZYMIL,32.12,310,GST Free Expenses,,,,,,,Active,Untracked
