*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
ASP,Aspragus,,Aspragus,4.50,310,GST Free Expenses,,,,,,,Active,Untracked
atur750,Tumeric Syrup,,Tumeric Syrup,25.08,310,GST on Expenses,,,,,,,Active,Untracked
AV,Avocado Hass,,Avocado Hass - Each,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
AVLT,Avocados-Shepherd-Tray,,Avocadosn Shepherd,40.00,310,GST Free Expenses,,,,,,,Active,Untracked
Avocado,Box Avocados,,Box Avocados,60.00,310,GST Free Expenses,,,,,,,Active,Untracked
AVT,Avocado Hass,,Avocado Hass (25) - Tray,45.00,310,GST on Expenses,,,,,,,Active,Untracked
B*MINB22.5,Beef Mince,,Beef Mince - Lean (2.5KG PKT),10.50,310,GST on Expenses,,,,,,,Active,Untracked
b16,Container Round 440ml,,Container Round 440ml,4.45,PACK,GST on Expenses,,,,,,,Active,Untracked
B200,60ML PORTION,,60ML PORTION,19.25,PACK,GST on Expenses,,,,,,,Active,Untracked
b22,Container Round,,Container Round,8.47,PACK,GST on Expenses,,,,,,,Active,Untracked
b8,Container Round 280ml,,Container Round 280ml,4.95,PACK,GST on Expenses,,,,,,,Active,Untracked
BAC302RG15,R/Less Bacon 5Kg,,R/Less Bacon 5Kg,56.00,310,GST Free Expenses,,,,,,,Active,Untracked
BAKER,TURKISH LOAF,,TURKISH LOAF,69.45,310,GST Free Expenses,,,,,,,Active,Untracked
Baklava,Baklava,,Baklava,40.00,310,GST on Expenses,,,,,,,Active,Untracked
BAN,Bananas,,Bananas,2.50,310,GST Free Expenses,,,,,,,Active,Untracked
BANANA TOPPING,Banana Topping,,Banana Topping,8.45,310,GST Free Expenses,,,,,,,Active,Untracked
BanBread,Banana Bread,,Banana Bread,22.10,310,GST on Expenses,,,,,,,Active,Untracked
BAS,Basil,,Basil,4.00,310,GST Free Expenses,,,,,,,Active,Untracked
BBGB,GINGER BEER,,GINGER BEER,31.30,310,GST on Expenses,,,,,,,Active,Untracked
BBLLB12,LEMOM LIME BITTERS,,LEMOM LIME BITTERS,15.65,310,GST Free Expenses,,,,,,,Active,Untracked
BBRPEBOG,BRISKET,,BRISKET,15.00,310,GST Free Expenses,,,,,,,Active,Untracked
BC,Bok Choy,,Bok Choy,2.50,310,GST Free Expenses,,,,,,,Active,Untracked
BCHTENT,Chuck Tenders,,Chuck Tenders,12.00,310,GST Free Expenses,,,,,,,Active,Untracked
BIO,Cocktail Napkins Box,,Cocktail Napkins Box,24.10,310,GST on Expenses,,,,,,,Active,Untracked
Black Pepper,Black Pepper,,Black Pepper,9.68,310,GST Free Expenses,,,,,,,Active,Untracked
blid,Lid Round,,Lid Round,2.74,PACK,GST on Expenses,,,,,,,Active,Untracked
BLUEK,Prawn Cutlet Steamed,,Prawn Cutlet Steamed,17.00,310,GST Free Expenses,,,,,,,Active,Untracked
BM,BEANS,,BEANS,7.50,310,GST Free Expenses,,,,,,,Active,Untracked
BMW,Car Loan,,Car Loan,320.00,449,GST on Expenses,,,,,,,Active,Untracked
BONS,Bonsoy Almond,,Bonsoy Almond,25.61,310,GST Free Expenses,,,,,,,Active,Untracked
BOPTCA,RIBS,,RIBS,25.00,310,GST Free Expenses,,,,,,,Active,Untracked
Botero Chocolate,Botero Rich Drinking Choc,,Botero Rich Drinking Choc,12.95,310,GST Free Expenses,,,,,,,Active,Untracked
br1000,Container Rectangle 1000ml,,Container Rectangle 1000ml,8.19,PACK,GST on Expenses,,,,,,,Active,Untracked
br650,Rect Lid 650ml,,Rect Lid 650ml,7.32,PACK,GST on Expenses,,,,,,,Active,Untracked
Brass 250g Bean,Brass Botero 250g Bean,,Brass Botero 250g Bean,7.00,310,GST Free Expenses,,,,,,,Active,Untracked
Brass 250g Espresso,Brass 250g Espresso,,Brass 250g Espresso,7.00,310,GST Free Expenses,,,,,,,Active,Untracked
BRL,Broccolini,,Broccolni,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
brlid,Lid Rectangle,,Lid Rectangle,3.83,PACK,GST on Expenses,,,,,,,Active,Untracked
Brown Sugar,Brown Sugar,,Brown Sugar,3.10,310,GST Free Expenses,,,,,,,Active,Untracked
BRUGFTCA6,RUMP,,RUMP,18.00,310,GST Free Expenses,,,,,,,Active,Untracked
BRUYPT6,Rump,,Rump,14.60,310,GST Free Expenses,,,,,,,Active,Untracked
BS,Bean Shoots,,Bean Shoots,2.30,310,GST Free Expenses,,,,,,,Active,Untracked
BSCPRC3,SCOTCH FILLET,,SCOTCH FILLET,25.00,310,GST Free Expenses,,,,,,,Active,Untracked
BSCRCB5,Scotch Fillet,,"Scotch Fillet YPGF 76,69058 RCBV MSA 1 Smaller Piece",22.00,310,GST on Expenses,,,,,,,Active,Untracked
BSCYP4T,Scotch Fillet,,Scotch Fillet,31.00,310,GST Free Expenses,,,,,,,Active,Untracked
BSCYPGF3T,Scotch Fillet YPGF 8406 TEYS,,Scotch Fillet YPGF 8406 TEYS,23.00,310,GST Free Expenses,,,,,,,Active,Untracked
BSGMI,Sausage Mince,,Sausage Mince,7.80,310,GST Free Expenses,,,,,,,Active,Untracked
BTR,Beetroot,,Beetroot,3.00,310,GST Free Expenses,,,,,,,Active,Untracked
Bugs,Bugs,,Bugs,25.50,310,GST Free Expenses,,,,,,,Active,Untracked
BULLA,Sour Cream,,Sour Cream,23.00,310,GST Free Expenses,,,,,,,Active,Untracked
BUT10,Butter 10kg,,Butter 10kg,143.12,310,GST Free Expenses,,,,,,,Active,Untracked
Butterball Chardonnay,Butterball Chardonnay,,Butterball Chardonnay,29.20,310,GST on Expenses,,,,,,,Active,Untracked
Buttermilk,buttermilk,,buttermilk,2.90,310,GST Free Expenses,,,,,,,Active,Untracked
BVO15,VEG OIL,,VEG OIL,63.00,460,GST Free Expenses,,,,,,,Active,Untracked
CA,Carrots,,Carrots,2.00,310,GST Free Expenses,,,,,,,Active,Untracked
CABR,Red Cabbage,,Red Cabbage,4.50,310,GST Free Expenses,,,,,,,Active,Untracked
cafdot,Dotty Cookies,,Dotty Cookies,10.35,310,GST on Expenses,,,,,,,Active,Untracked
cafsdg,Sticky Date Cookies,,Sticky Date Cookies,10.35,310,GST on Expenses,,,,,,,Active,Untracked
CAKES,CAKES,,CAKES,0.00,310,GST on Expenses,,,,,,,Active,Untracked
CANNELLINI BEANS,CANNELLINI BEANS,,CANNELLINI BEANS,6.25,310,GST Free Expenses,,,,,,,Active,Untracked
Capers,Capers,,Capers,17.77,310,GST Free Expenses,,,,,,,Active,Untracked
CAPRI,Vinyl Gloves,,Vinyl Gloves,7.46,PACK,GST on Expenses,,,,,,,Active,Untracked
Caramel Syrup Botero,Caramel Syrup Botero,,Caramel Syrup Botero,14.90,310,GST on Expenses,,,,,,,Active,Untracked
CAS208,Smoked Turkey Half Breast,,Smoked Turkey Half Breast,22.00,310,GST Free Expenses,,,,,,,Active,Untracked
Cash,Cash,,,,,,Cash,0.00,,,,,Active,Untracked
CAST,Clingwrap,,Clingwrap,25.35,PACK,GST on Expenses,,,,,,,Active,Untracked
Catering,Catering,,,,,,Catering,17.00,200,GST on Income,,,Active,Untracked
Catering Supplies,Catering Supplies,,Catering Supplies,0.00,310,GST on Expenses,,,,,,,Active,Untracked
Celery,Celery,,Celery,3.50,310,GST Free Expenses,,,,,,,Active,Untracked
CH,Chillis,,Chillis,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
CH10243,TASTY CHEESE,,TASTY CHEESE16.5,20.79,310,GST Free Expenses,,,,,,,Active,Untracked
Chai,Chai Powder,,Chai Powder,24.75,310,GST Free Expenses,,,,,,,Active,Untracked
Chai Tea,Chai Tea,,Chai Tea,68.00,310,GST Free Expenses,,,,,,,Active,Untracked
CHE,Quinoa,,Quinoa,9.00,310,GST Free Expenses,,,,,,,Active,Untracked
CHEER,Tasty cheese,,Tasty cheese,15.80,310,GST Free Expenses,,,,,,,Active,Untracked
Chef Service,Chef Service,,,,,,,,,,,,Active,Untracked
CHI,Chives,,Chives,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
chi5,Greaseproof Paper,,Greaseproof Paper,17.38,PACK,GST on Expenses,,,,,,,Active,Untracked
Chips Ultrafast,Chips,,Chips,32.25,310,GST Free Expenses,,,,,,,Active,Untracked
CHTF,CHICKEN THIGH,,CHICKEN THIGH,10.60,310,GST Free Expenses,,,,,,,Active,Untracked
Cider,5 Seeds Cider,,5 Seeds Cider,15.00,310,GST on Expenses,,,,,,,Active,Untracked
Cinnamon Quills,Cinnamon Quills,,Cinnamon Quills,18.20,460,GST Free Expenses,,,,,,,Active,Untracked
CITRUS TARTS,CITRUS TARTS IND,,CITRUS TARTS IND,16.00,310,GST Free Expenses,,,,,,,Active,Untracked
Citrus Tarts Mini,Citrus Tarts Mini,,Citrus Tarts Mini,16.00,310,GST on Expenses,,,,,,,Active,Untracked
